gene,length
MYH11,155303
,
PPP1R3A,199143
,
LRRIQ1,228143
,
CACNA1A,418047
,
DNHD1,96498
,
COL14A1,313793
,
MAP1B,102331
,
FLRT2,124284
,
GRM8,814495
,
ITPR1,354161
,
TNN,80242
,
MTUS2,685608
,
PAPPA,248530
,
COL4A4,161739
,
VPS13A,244092
,
TLN2,454105
,
F5,74637
,
BRINP3,380746
,
ZNF804B,578828
,
USP9X,151134
,
CDH12,1102671
,
SLITRK1,5269
,
SORCS3,623952
,
TIAM1,441561
,
HIVEP3,529560
,
REV3L,184687
,
NSD1,168383
,
MYT1L,542551
,
THSD7A,461833
,
HIVEP2,205229
,
PXDN,112965
,
NCOR1,189120
,
FLNB,163853
,
PKD1,47190
,
NFASC,194171
,
NLRP3,116777
,
SMG1,121548
,
ACACB,151639
,
GRM1,409955
,
MED12L,351786
,
ARID2,178334
,
SORL1,181449
,
ZNF292,114140
,
ATR,129726
,
PLCH1,369491
,
ACAN,71917
,
PCDH9,927611
,
STAB1,29157
,
SLIT3,639399
,
CACNA1D,484770
,
BOD1L1,58987
,
POLE,63623
,
EGFR,192611
,
FAM47C,3298
,
ADAMTS16,179974
,
TNC,98632
,
KCNB2,401124
,
EP300,87567
,
CDH8,389793
,
LRBA,751292
,
GON4L,109741
,
PCNXL2,
,
FBXW7,215548
,
UBR5,160486
,
SVIL,279621
,
ATP10A,187911
,
CACNA1G,66759
,
DLG2,2173323
,
POLQ,114557
,
AKAP13,368787
,
SETD2,147685
,
IGF2R,144425
,
CELSR2,26212
,
MYLK,274283
,
ROBO1,1170759
,
MALAT1,10467
,
ITPR3,76209
,
PRDM9,84507
,
ADGRL2,687785
,
ABCA4,128314
,
FNDC1,102708
,
ABCC9,145154
,
KIF21B,54324
,
MYH15,148954
,
OTOF,101553
,
MUC2,35636
,
SHANK2,784723
,
NOTCH1,51615
,
CNTNAP4,283479
,
MAP1A,20662
,
DMXL1,211366
,
SAMD9L,18329
,
DOCK4,480297
,
CHD5,78534
,
COL3A1,38373
,
GRM3,220970
,
ABCB5,161371
,
MRC1,101816
,
CPAMD8,133864
,
ZNF208,77991
,
KCNT2,383446
,
EPHA3,374513
,
C5orf42,
,
HTT,202594
,
ZNF462,150468
,
COL4A5,257707
,
FRYL,282965
,
SLITRK3,10389
,
CEP350,160206
,
NCOR2,243197
,
NLRP5,62084
,
CHD4,44442
,
CNOT1,109934
,
NRK,136071
,
LPA,132793
,
MYOM2,120506
,
MEGF8,53160
,
RUNX1T1,148413
,
CELSR3,26423
,
ZFPM2,1213806
,
ASTN2,991958
,
DNAH6,303134
,
CR1,145618
,
PCDHA10,156464
,
TET1,134150
,
MYO7B,102046
,
BRWD3,140374
,
ZNF99,31968
,
PIK3R1,86081
,
MAGI2,1436612
,
CNTN5,1337936
,
KIF26B,554447
,
PDE4DIP,240146
,
HIVEP1,156237
,
ZNF521,290266
,
SPTB,133624
,
GRM7,971532
,
DOCK10,277378
,
MED12,25560
,
SPTBN1,215119
,
IGSF1,305393
,
SCN7A,207909
,
CFAP54,385984
,
TPR,64041
,
UNC5D,561075
,
SOX11,9001
,
PKD1L2,119495
,
EPHA6,946951
,
DLC1,521249
,
ZEB2,156693
,
TLL1,231220
,
ADAMTSL3,385754
,
PCDH18,13576
,
DPP6,1146152
,
PBRM1,140565
,
GTF3C1,90358
,
RGPD4,65652
,
SPTAN1,81104
,
SMARCA4,118494
,
SIPA1L2,232606
,
CIT,191529
,
SPATA31D1,6481
,
COL6A5,139330
,
GREB1,160447
,
NLRP4,45315
,
HDAC9,915467
,
ST18,350121
,
CPS1,201425
,
CNTN4,959146
,
CHD9,274159
,
CAMTA1,984252
,
SAMD9,18510
,
ADAMTS18,187221
,
SETX,93630
,
PLCB1,891109
,
SDK2,310061
,
CDH18,1104577
,
SCN4A,34364
,
PDGFRA,68965
,
TNRC6B,290991
,
CCDC108,
,
RB1,295692
,
COL1A2,36332
,
EGFLAM,207071
,
HECW2,404585
,
C3,52858
,
MED13,122673
,
CHL1,212654
,
EPHA5,350932
,
SETBP1,388337
,
NOTCH4,29224
,
PTPRC,120885
,
CDH11,182359
,
KDR,47114
,
ARID1B,434759
,
TCHH,9127
,
IDH1,29845
,
CACNA1H,71066
,
PLCB4,436768
,
CUL9,42403
,
KCNH7,467360
,
PCDHB8,4579
,
ZBED9,
,
GRIA4,372555
,
CNTN6,311559
,
GCN1L1,
,
MTOR,156021
,
COL5A3,50943
,
NBAS,394424
,
ADAMTSL1,1004387
,
RIMBP2,372095
,
ZNF423,370395
,
MYH9,106730
,
SIPA1L1,420780
,
DOCK8,250405
,
ABCB1,210306
,
MYH3,28783
,
CHD8,70932
,
KIF1B,171033
,
TNRC6A,217423
,
DNAH14,503030
,
SPTBN4,110223
,
CD163,33082
,
ATP2B2,383984
,
MYO9A,296286
,
MORC1,159886
,
FRMPD4,902100
,
PCDH19,118629
,
MMP16,296014
,
CD163L1,133212
,
PLXNA2,222142
,
GPR179,19385
,
TSHZ2,522972
,
GRID2,1506191
,
TRHDE,583492
,
UNC80,227731
,
KIF2B,2266
,
LAMA4,147008
,
TRPA1,55667
,
DOCK11,190348
,
EPB41L3,238319
,
UTP20,106513
,
COL5A2,193414
,
EPHB1,465207
,
CENPE,93096
,
EPHA7,179667
,
SLITRK5,24901
,
KCNH5,402573
,
ICE1,69556
,
BCOR,127514
,
DOPEY2,
,
CFH,100722
,
BPTF,158875
,
MAST4,573213
,
LAMB4,106813
,
EPPK1,21143
,
EPG5,166748
,
ANO4,411115
,
JMJD1C,354629
,
NTRK3,397040
,
RGPD3,77123
,
GRID1,767243
,
TEP1,47834
,
ZZEF1,138585
,
HERC2P3,135976
,
DPP10,1403481
,
ARHGAP32,314264
,
BNC2,461340
,
TET2,133941
,
SPTBN5,45907
,
FAM47A,2562
,
CARD11,138086
,
COL4A1,158239
,
PCSK5,472331
,
C6,119322
,
ACACA,321844
,
GRIA2,182964
,
KIAA1549,150008
,
TMEM132B,475991
,
KIAA1549L,297994
,
PLXNA1,54696
,
NHS,360794
,
PKDREJ,7680
,
ABCA1,147149
,
TRIOBP,79508
,
ADCY2,433943
,
CTNNB1,65355
,
LTBP1,452556
,
BCORL1,76964
,
PPFIA2,501578
,
NLRP12,32264
,
SYTL2,116935
,
ABCA8,88103
,
BAZ2B,301257
,
KAT6A,122515
,
KIAA1210,71944
,
TPO,169645
,
CADPS,477070
,
MLLT4,
,
CASR,107961
,
DUSP27,
,
TRPM2,92918
,
RIF1,98130
,
PIK3CG,43702
,
ALK,728812
,
TDRD6,16444
,
PCDHA2,217495
,
WNK3,165819
,
ATP10B,289094
,
NOTCH3,41957
,
NRAP,75356
,
NLRP8,40797
,
BRINP1,215977
,
FRMPD1,95950
,
LRFN5,297673
,
KCNA1,8351
,
PTPRK,551831
,
NOTCH2,189226
,
LRRK1,158930
,
AMER1,20591
,
ANKRD30B,126395
,
PCDHB5,3409
,
PCDHB3,3354
,
TRPM1,160095
,
C2orf16,
,
MYO10,274381
,
SLC8A1,513783
,
SLITRK2,12027
,
CCDC141,220380
,
BRWD1,137383
,
KIF1A,110532
,
ARHGAP35,144080
,
PDE1C,676952
,
PCNX,
,
ZFYVE26,89216
,
SIGLEC1,25630
,
FSTL5,780107
,
CACNA2D3,952005
,
GRM5,561406
,
PTPN13,220856
,
CACNA1F,28308
,
COL24A1,427710
,
GRIK2,1118921
,
NUP210L,162426
,
BDP1,112169
,
GRIA1,324254
,
NLRP7,42803
,
ANKRD12,149757
,
MED13L,319788
,
WNK1,158873
,
TP63,265887
,
CFAP46,134431
,
WDFY4,298083
,
MYO7A,86995
,
MDGA2,835513
,
TEX14,135377
,
NEBL,513038
,
PTCHD2,
,
SLC12A5,38460
,
NCAM2,544920
,
KCNMA1,768768
,
RNF17,115752
,
PTPRF,98479
,
EVPL,22804
,
NCAM1,317161
,
ABCC8,84396
,
FCRL5,39138
,
ATRNL1,855634
,
KCNH8,387132
,
ANKRD17,185422
,
ARAP2,296293
,
TIAM2,425026
,
DSEL,10133
,
PCDHB12,3874
,
DLGAP2,970848
,
CDKN2A,27549
,
NLGN4X,388230
,
KIAA2018,
,
PCDHA12,137045
,
PZP,59555
,
GLI2,257030
,
PCDHA3,211319
,
COL19A1,345912
,
ZNF407,467801
,
TLR4,20560
,
MAGI1,685393
,
CAD,26574
,
AHCTF1,92850
,
LILRB5,7880
,
ARHGAP21,140278
,
TNIK,401994
,
KIAA1462,
,
FLT1,194799
,
PIKFYVE,92491
,
ARFGEF1,170270
,
ADAMTS9,172346
,
KIF21A,150162
,
DPYD,917257
,
PRRC2C,107981
,
COL11A2,29818
,
PTPRN2,1048767
,
ATP2B3,65297
,
LAMB1,79414
,
ADCY10,104829
,
XIRP1,9386
,
BRINP2,111464
,
SPTBN2,62174
,
THOC2,132495
,
DIP2C,415467
,
ZNF236,150344
,
TLN1,35247
,
SHANK1,60547
,
DOPEY1,
,
SEMA5A,511042
,
EXPH5,88333
,
FRMPD2,121608
,
PCDHA4,205310
,
TRPC4,237739
,
FLT4,48118
,
NLRC5,94046
,
PCDHA6,184389
,
INADL,
,
TAF1,166238
,
FAM83B,98328
,
PCDHGA4,157954
,
AFF3,647009
,
DCAF4L2,3268
,
MAP3K19,82983
,
PHF3,143534
,
CUX1,468054
,
SLX4,30425
,
MYOF,175905
,
FANCM,64960
,
PCDHGA2,174215
,
TRIP12,159402
,
CUX2,316389
,
PCDHB2,4097
,
CEP192,133690
,
SNRNP200,46933
,
MYOCD,103059
,
STXBP5L,516689
,
NUP205,90840
,
PCDHA1,226211
,
XDH,80421
,
MECOM,580276
,
ALPK3,56123
,
KIF4B,4386
,
OR2L13,5979
,
COL4A6,283890
,
COL4A3,150168
,
PCDHA8,171160
,
CEP290,93083
,
CNTN1,379976
,
NLRP13,40637
,
NWD1,98116
,
GRIN3A,169295
,
BZRAP1,
,
CFAP61,308189
,
FCRL3,26448
,
PCDHA11,144164
,
CDH6,135460
,
SCN8A,222598
,
KIAA0100,
,
THBS2,38270
,
DICER1,71782
,
RTTN,202695
,
IGSF9B,60530
,
NIN,111399
,
PHLDB2,244020
,
MASP1,74698
,
ZNF638,158508
,
RBP3,9518
,
ANKHD1-EIF4EBP3,147661
,
ANKS1B,1258479
,
KCNU1,151801
,
PREX1,203747
,
HELZ2,16153
,
PTPN14,203749
,
PDE3A,320046
,
STAG2,462452
,
NRG1,1216444
,
PTPRM,840079
,
COL15A1,127608
,
HEPH,106196
,
LRRTM4,845634
,
ZNF318,62513
,
ABCC12,75136
,
DSG4,38135
,
CIC,27260
,
BCL11A,103947
,
ERBB3,26706
,
MAGEC3,59516
,
PLXNA3,19498
,
PLXNB2,32667
,
WBSCR17,
,
MBD5,495960
,
YLPM1,96119
,
MCM3AP,51164
,
HFM1,144090
,
PRPF8,34238
,
KSR2,515978
,
KIF16B,301344
,
KCND2,477162
,
TNS1,234394
,
AMER3,12594
,
ABCA10,97632
,
TDRD5,99659
,
HCFC1,24261
,
MYO5B,372375
,
CASZ1,160046
,
ERC2,960784
,
SULF1,194291
,
ARFGEF3,182724
,
CHD3,27964
,
HEATR1,55511
,
SLC9C2,102612
,
SALL3,22859
,
MYPN,124120
,
POM121L12,1292
,
ARMC4,
,
EFCAB6,283593
,
KLHL1,407899
,
SEMA6D,590127
,
PRRC2A,17056
,
SYCP2,70091
,
KDM6A,239591
,
CDH7,140085
,
PCDHB13,5060
,
MYH7B,46627
,
PAK7,
,
DNAJC13,121530
,
CCNB3,149201
,
ADAMTS3,288252
,
ABCC11,81795
,
ASCC3,373178
,
ADAM29,148512
,
LRRC4C,1345570
,
ABCA6,63193
,
PTCH1,74077
,
MPDZ,173986
,
ABCA9,86461
,
PCDHA13,130223
,
UNC13A,87029
,
KCNH1,457342
,
ADCY1,148976
,
USP6,59002
,
RBBP6,35170
,
CCDC88A,132053
,
KIAA1211,
,
ITGA8,205968
,
SPATA31D5P,6410
,
ITGAX,27865
,
CACNA1I,118982
,
SIPA1L3,301161
,
ABCA2,21681
,
MYH10,157169
,
TTC3,129886
,
CH17-140K24.8,
,
SLC8A3,145265
,
ABCA3,64865
,
SON,34443
,
ZNFX1,40480
,
ARPP21,155551
,
ITSN1,257461
,
PDZRN4,386425
,
COL4A2,207397
,
RGS22,170332
,
CFTR,428851
,
PI4KA,151726
,
PRRC2B,126561
,
A2ML1,64380
,
ATP7A,139705
,
HELZ,175545
,
COL27A1,156974
,
RAG1,82784
,
IGF1R,315991
,
LRP4,61925
,
DOCK9,293196
,
NBEAL1,211770
,
DOCK1,547108
,
PCDHA7,178099
,
MCF2,126446
,
CHD2,141793
,
FAM47B,2119
,
LTBP2,114195
,
USP29,12788
,
ADAMTS19,278402
,
WNK2,136450
,
NCOA6,136554
,
SHPRH,100178
,
IRS4,16617
,
ZFC3H1,58126
,
KMT2E,174076
,
MICAL3,236912
,
SPATA31A1,6293
,
RGAG1,
,
TNRC18,118624
,
A2M,48565
,
WDR17,116977
,
DOCK7,234088
,
ATP10D,108211
,
MYOM3,56100
,
NLRP2,48012
,
NUP210,104087
,
MYH14,122356
,
CPED1,308745
,
SHROOM3,348024
,
PLEKHH2,130727
,
PCDHB10,3294
,
L1CAM,24659
,
SLITRK4,13311
,
NRXN2,117023
,
HDAC4,353486
,
DGKI,466055
,
DOCK5,233393
,
PIK3C2G,405455
,
GRIA3,306762
,
KIDINS220,116549
,
CACNA2D1,497512
,
FASN,19956
,
RBFOX1,2473538
,
NYNRIN,20280
,
PRDM2,124891
,
SBF2,528101
,
PIEZO2,483086
,
WDR87,21854
,
POTEE,55742
,
ITGB4,36490
,
ADAMTS2,234608
,
SEC16A,43663
,
DLEC1,84820
,
SPG11,108870
,
GRIK3,238988
,
ZNF91,90480
,
CTTNBP2,163488
,
CFAP43,102476
,
TSIX,37026
,
PCDHGA3,169146
,
ARHGEF11,112063
,
FAM179B,
,
PTPRG,736040
,
GOLGA4,123688
,
FHOD3,482507
,
NLRP1,120009
,
NLRP14,51047
,
INSRR,19054
,
CTNNA3,1851180
,
TANC1,264019
,
PCDHB16,3839
,
ATAD2,96500
,
KCNA6,3984
,
DNAH12,250645
,
NELL1,906135
,
NID2,64250
,
PCDH20,6164
,
IQGAP2,304847
,
MTCL1,127222
,
ITIH5,107728
,
COL6A2,34736
,
ATP8B4,324579
,
KLHL4,152641
,
CEP170,131365
,
DSG1,41086
,
NCAN,40275
,
RASGRF1,130874
,
ABCB4,78739
,
CEP250,64116
,
MYO3B,477026
,
CDH4,688356
,
SEZ6L,214135
,
DIP2A,113852
,
CSPG4,38526
,
PLCL1,767988
,
RAB3GAP2,124236
,
MYO1F,59979
,
INTS1,34112
,
DGKK,105416
,
MIA3,49910
,
ARHGAP31,126331
,
ABCA7,25575
,
SPATA31E1,6026
,
DLG5,135964
,
HECTD1,107687
,
VWA3B,226183
,
NDST4,286113
,
PCDHA5,190743
,
KDM3B,84343
,
ATG2B,84146
,
PLCG2,224437
,
PTPRS,182317
,
DDX60L,181051
,
EHMT1,251024
,
RALGAPA2,323114
,
LEPR,220907
,
TMPRSS15,216763
,
EIF4G1,20863
,
DUOX2,21522
,
SLC4A4,509420
,
CNTN3,352091
,
PPP1R9A,389213
,
NUMA1,77829
,
NLRP9,29964
,
CNGB3,189698
,
TRPC5,314765
,
ADGB,216495
,
HEATR5B,115989
,
KCNQ3,360234
,
TJP1,269548
,
MYO5A,221851
,
COBL,300606
,
ATP13A5,104031
,
ZC3H13,98294
,
ESPL1,25339
,
RAI1,129995
,
PIK3C2B,72177
,
DGKB,829728
,
ITGA4,81738
,
AGBL1,969298
,
GABRB3,395987
,
PLXND1,51462
,
NAV1,287842
,
NLRP11,51403
,
CR2,36871
,
CDC42BPA,328627
,
CHRM2,151603
,
ITIH6,49337
,
WDR33,110160
,
ITGAD,33170
,
FILIP1,201941
,
NBEAL2,30038
,
FGD5,123718
,
EPHA4,156175
,
TP53BP1,107667
,
KNDC1,66193
,
ASXL1,80989
,
NLGN1,898088
,
RET,53287
,
LMO7,239436
,
TNS3,307404
,
KNTC1,99150
,
SALL4,20190
,
MYOM1,153161
,
KIAA2026,
,
ADAMTS5,49166
,
SYNPO2,210559
,
VWA8,394285
,
ZEB1,211319
,
AIM1,
,
ABCC1,194119
,
KANSL1,195473
,
ATP11C,218930
,
RP11-85G18.6,
,
MAP3K1,80603
,
CDHR2,53463
,
CCDC88C,146521
,
KCNA4,7300
,
ADGRF5,102421
,
NPHS1,43915
,
PRKCB,384628
,
RGS12,146892
,
HEPHL1,92854
,
MUC6,23895
,
TANC2,461468
,
EVC2,166776
,
ARFGEF2,114982
,
SEMA5B,119523
,
CASC5,
,
FAM208B,
,
ATP8A2,653877
,
LIFR,133686
,
FSHR,192370
,
ZBBX,168031
,
COL9A1,87044
,
KDM5A,109263
,
ABCC3,57476
,
PCDHGA1,182461
,
MMRN1,75097
,
TCF20,183603
,
PCDHB14,4416
,
STK31,122310
,
EIF4G3,370993
,
GNAS,71474
,
OGDHL,27738
,
ABI3BP,244359
,
PEAK1,319488
,
MDC1,17640
,
ASPH,214084
,
SFMBT2,252864
,
C2orf71,
,
KIT,83516
,
PCDHGA5,148813
,
SORBS2,371208
,
ZNF479,22188
,
ARHGAP5,83614
,
COL2A1,31587
,
PRDM16,369453
,
SHROOM4,227506
,
KAT6B,207697
,
NES,8644
,
COL21A1,337504
,
CDK5RAP2,191295
,
SMARCA2,213334
,
KDM5B,83992
,
ATP13A4,194144
,
RB1CC1,123385
,
KIF20B,73349
,
PLXNB3,15150
,
PCDHB11,4169
,
Unknown,
,
ERBB2,42512
,
LRP6,151019
,
C2CD3,158492
,
HDLBP,89797
,
DSG3,30961
,
NYAP2,330177
,
SIM1,79912
,
TET3,123267
,
LRP5,136684
,
RICTOR,136482
,
TRO,10969
,
DAPK1,211406
,
MYO5C,103482
,
SNCAIP,152865
,
AUTS2,1195210
,
MAP3K4,125658
,
KIF13A,228452
,
LILRB1,20864
,
PLG,51903
,
NPC1L1,28795
,
AMPH,247716
,
ANKRD26,126701
,
KIAA0430,
,
NRCAM,309094
,
ATP1A2,27832
,
WHSC1,
,
GPATCH8,108149
,
PDZRN3,242510
,
PHIP,143868
,
C7,110724
,
AK9,198362
,
ARHGAP36,31539
,
PCDHGA8,122818
,
KIAA1429,
,
ENAM,18080
,
IL16,154483
,
BCL9L,32051
,
CABIN1,167436
,
NID1,89279
,
ANO2,414363
,
KIAA1551,
,
IFT172,45428
,
SLC9C1,153329
,
PCDHGA6,139084
,
MCF2L2,250737
,
SLC17A6,41122
,
FRMPD3,155603
,
TULP4,279592
,
NETO1,125832
,
ABCB11,115826
,
ZFAT,235261
,
ZBTB20,832792
,
CLSTN2,642212
,
SLC12A1,125640
,
ZMYM3,15522
,
JAK1,234531
,
DDX60,102592
,
IGFN1,38128
,
TMC5,88617
,
TRPC7,152800
,
EPHB6,16033
,
DTNA,398553
,
CNTRL,103069
,
MON2,133659
,
PKP4,225927
,
PCDHB4,3805
,
POTEF,55687
,
EML5,180522
,
XRN1,141455
,
NCKAP1L,50491
,
POLA1,303113
,
GALNT13,582057
,
BCL9,84715
,
UMODL1,80494
,
ADGRL4,392360
,
CORIN,244107
,
NRP2,116143
,
MYT1,139859
,
MYO18A,109276
,
ARHGEF17,61112
,
GPRASP1,7991
,
POLR1A,85939
,
ADCY9,163055
,
TRERF1,227120
,
PIWIL1,34750
,
INSR,182159
,
QSER1,100505
,
ABCC5,98005
,
ITSN2,157672
,
PPL,78234
,
AKAP12,118592
,
SLC4A8,124446
,
ROCK1,167201
,
SP140,110105
,
ABCC6,73957
,
GUCY2C,83967
,
ATG2A,22663
,
CDH1,98245
,
ADAM7,86040
,
CDH2,245067
,
KCNQ5,577061
,
KDM2B,153183
,
TIE1,22126
,
LTN1,64812
,
MKRN3,64401
,
TMEM132E,59831
,
RALGAPA1,270952
,
BACH2,370315
,
PARP14,50001
,
PHF20L1,73449
,
NRG3,1111985
,
PHKA2,91816
,
TRIM51,8513
,
COL1A1,17531
,
ITIH2,46204
,
FGA,7616
,
TSC2,41524
,
WDR72,249137
,
TRPM8,102149
,
SGIP1,217872
,
RREB1,144383
,
SLC39A12,91453
,
NOL4,373852
,
CHD1,75022
,
BCL11B,102910
,
ZGRF1,97662
,
ATP1A4,35394
,
ARID4B,196585
,
SUPT6H,40481
,
MYO9B,138760
,
PTPRU,90297
,
EPHA8,40106
,
TRPV5,25645
,
USP24,149019
,
CNTLN,368941
,
ACTN2,100490
,
DENND3,78530
,
MRC2,65927
,
PTCHD3,17247
,
ZNF676,36712
,
SMCHD1,149291
,
GRIK1,403100
,
MET,126181
,
CECR2,198202
,
BRCA1,125950
,
ELMO1,596317
,
XYLT1,369191
,
DISP1,190973
,
THSD4,686431
,
SYCP1,140507
,
CTCF,76710
,
CDC42BPB,125169
,
HTR2C,325983
,
MADD,60870
,
RERE,496524
,
SLCO5A1,167932
,
POTEH,31605
,
ENPEP,199552
,
RFX6,54949
,
LMTK2,102776
,
RNF43,63919
,
OBSL1,21131
,
GIGYF2,163306
,
SCAF4,61118
,
COL17A1,54594
,
CAMSAP2,121814
,
KIAA0556,
,
PLXNB1,26232
,
DEPDC5,154166
,
CCT8L2,2059
,
PDS5B,191567
